Time elapsed for reading surface mesh: 0.569878
Time elapsed for curvature and narrow region assessment: 11.0202
Number of unbalanced nodes: 92
Number of unbalanced nodes: 15
Number of unbalanced nodes: 0
Time elapsed for octree generation (strongly balanced): 29.6421
Time elapsed for constructing octree: 42.3991
Time elapsed for generating dual mesh: 7.20467
1177, 1995 1996 61 65 1179 
64 65 61 60 21 
5598, 8045 8046 3991 3995 5590 
3994 3995 3991 3990 2837 
5766, 4027 4028 4042 4041 2850 
4027 4041 8242 8239 5767 
5997, 8556 8557 7387 7389 5998 
7388 7389 7387 7386 5162 
6491, 9215 9225 9227 9230 6533 
9225 9226 9228 9227 6490 
Time elapsed for extracting interior dual mesh: 14.1742
badElem: 1 aveDist: 0.000325711 maxDist: 0.0331136 maxDistIdx: 11249
badElem: 2 aveDist: 0.000218783 maxDist: 0.0241664 maxDistIdx: 11183
badElem: 0 aveDist: 0.000133059 maxDist: 0.0128535 maxDistIdx: 11183
badElem: 4 aveDist: 7.09003e-05 maxDist: 0.00855861 maxDistIdx: 11717
badElem: 4 aveDist: 4.02367e-05 maxDist: 0.00625825 maxDistIdx: 11249
badElem: 0 aveDist: 1.79371e-05 maxDist: 0.00436969 maxDistIdx: 12464
badElem: 0 aveDist: 1.23416e-05 maxDist: 0.00388644 maxDistIdx: 11717
badElem: 0 aveDist: 4.9205e-06 maxDist: 0.00224651 maxDistIdx: 12464
badElem: 0 aveDist: 3.10381e-06 maxDist: 0.00197501 maxDistIdx: 12469
badElem: 0 aveDist: 1.6591e-06 maxDist: 0.00154787 maxDistIdx: 12464
badElem: 0 aveDist: 6.44351e-07 maxDist: 0.00123629 maxDistIdx: 12464
badElem: 0 aveDist: 1.43612e-07 maxDist: 0.000275543 maxDistIdx: 12464
badElem: 0 aveDist: 2.97162e-15 maxDist: 4.33306e-12 maxDistIdx: 13300
badElem: 32 aveDist: 0.000526074 maxDist: 0.0603153 maxDistIdx: 11717
badElem: 15 aveDist: 0.00057737 maxDist: 0.0675133 maxDistIdx: 11717
badElem: 12 aveDist: 0.000579685 maxDist: 0.0675133 maxDistIdx: 11717
badElem: 13 aveDist: 0.000582339 maxDist: 0.0675133 maxDistIdx: 11717
badElem: 8 aveDist: 0.000584783 maxDist: 0.0675133 maxDistIdx: 11717
badElem: 12 aveDist: 0.000586858 maxDist: 0.0675133 maxDistIdx: 11717
badElem: 9 aveDist: 0.000588839 maxDist: 0.0675133 maxDistIdx: 11717
badElem: 13 aveDist: 0.000574531 maxDist: 0.0594146 maxDistIdx: 11249
badElem: 8 aveDist: 0.000590142 maxDist: 0.0602629 maxDistIdx: 11183
badElem: 3 aveDist: 0.000591625 maxDist: 0.0602629 maxDistIdx: 11183
badElem: 8 aveDist: 0.00049077 maxDist: 0.0520998 maxDistIdx: 11249
badElem: 5 aveDist: 0.000378246 maxDist: 0.0389877 maxDistIdx: 11249
badElem: 0 aveDist: 0.000287249 maxDist: 0.0275815 maxDistIdx: 11799
badElem: 1 aveDist: 0.000219413 maxDist: 0.0222035 maxDistIdx: 11249
badElem: 2 aveDist: 0.000163301 maxDist: 0.0167992 maxDistIdx: 11799
badElem: 0 aveDist: 0.000118228 maxDist: 0.0185351 maxDistIdx: 11249
badElem: 3 aveDist: 8.38211e-05 maxDist: 0.0119489 maxDistIdx: 11717
badElem: 0 aveDist: 6.29309e-05 maxDist: 0.011673 maxDistIdx: 11249
badElem: 8 aveDist: 4.265e-05 maxDist: 0.0107558 maxDistIdx: 11801
badElem: 5 aveDist: 2.95381e-05 maxDist: 0.0101761 maxDistIdx: 11801
badElem: 3 aveDist: 1.69519e-05 maxDist: 0.00407778 maxDistIdx: 11717
badElem: 0 aveDist: 1.07903e-05 maxDist: 0.0027669 maxDistIdx: 12469
badElem: 0 aveDist: 1.29534e-05 maxDist: 0.00726759 maxDistIdx: 11801
badElem: 0 aveDist: 7.27036e-06 maxDist: 0.00497475 maxDistIdx: 11801
badElem: 0 aveDist: 3.88213e-06 maxDist: 0.00290884 maxDistIdx: 11801
badElem: 0 aveDist: 2.87232e-06 maxDist: 0.00248789 maxDistIdx: 11801
badElem: 0 aveDist: 1.32775e-06 maxDist: 0.00142174 maxDistIdx: 11801
badElem: 0 aveDist: 7.75623e-07 maxDist: 0.00059857 maxDistIdx: 12464
badElem: 0 aveDist: 2.96969e-07 maxDist: 0.000369507 maxDistIdx: 11801
