Time elapsed for reading surface mesh: 0.562278
Time elapsed for curvature and narrow region assessment: 4.90483
Number of unbalanced nodes: 56
Number of unbalanced nodes: 0
Time elapsed for octree generation (strongly balanced): 19.8685
Time elapsed for constructing octree: 25.3804
Time elapsed for generating dual mesh: 2.38169
Time elapsed for extracting interior dual mesh: 7.94421
badElem: 0 aveDist: 0.000128575 maxDist: 0.0145738 maxDistIdx: 3993
badElem: 6 aveDist: 9.12622e-05 maxDist: 0.00792723 maxDistIdx: 4194
badElem: 3 aveDist: 6.67025e-05 maxDist: 0.00766378 maxDistIdx: 4127
badElem: 0 aveDist: 4.90966e-05 maxDist: 0.00680252 maxDistIdx: 3993
badElem: 0 aveDist: 3.4014e-05 maxDist: 0.00809724 maxDistIdx: 3993
badElem: 0 aveDist: 2.30339e-05 maxDist: 0.00567978 maxDistIdx: 3993
badElem: 4 aveDist: 1.47929e-05 maxDist: 0.00425711 maxDistIdx: 3993
badElem: 0 aveDist: 1.58843e-05 maxDist: 0.00420072 maxDistIdx: 3993
badElem: 0 aveDist: 1.03741e-05 maxDist: 0.00295741 maxDistIdx: 3993
badElem: 0 aveDist: 7.02385e-06 maxDist: 0.00199162 maxDistIdx: 3993
badElem: 0 aveDist: 6.15763e-06 maxDist: 0.00216674 maxDistIdx: 3993
badElem: 0 aveDist: 5.36482e-06 maxDist: 0.00213309 maxDistIdx: 3993
badElem: 0 aveDist: 3.09244e-06 maxDist: 0.00126632 maxDistIdx: 3993
badElem: 0 aveDist: 4.5405e-06 maxDist: 0.00201394 maxDistIdx: 4194
badElem: 0 aveDist: 2.34428e-06 maxDist: 0.000987226 maxDistIdx: 4194
badElem: 0 aveDist: 2.34511e-06 maxDist: 0.00128211 maxDistIdx: 4194
badElem: 0 aveDist: 2.18432e-06 maxDist: 0.000824024 maxDistIdx: 4194
badElem: 0 aveDist: 1.18946e-06 maxDist: 0.000605158 maxDistIdx: 4194
badElem: 0 aveDist: 7.69633e-07 maxDist: 0.000309421 maxDistIdx: 4194
badElem: 0 aveDist: 4.0425e-07 maxDist: 0.000308419 maxDistIdx: 4194
badElem: 0 aveDist: 6.68144e-15 maxDist: 4.92855e-12 maxDistIdx: 3300
badElem: 35 aveDist: 0.00117167 maxDist: 0.0579309 maxDistIdx: 4301
badElem: 36 aveDist: 0.00156768 maxDist: 0.0887967 maxDistIdx: 4132
badElem: 0 aveDist: 0.00159294 maxDist: 0.0933148 maxDistIdx: 4259
badElem: 4 aveDist: 0.00143962 maxDist: 0.084578 maxDistIdx: 4259
badElem: 4 aveDist: 0.00132166 maxDist: 0.0775131 maxDistIdx: 4132
badElem: 0 aveDist: 0.00120396 maxDist: 0.0714747 maxDistIdx: 4132
badElem: 5 aveDist: 0.00107444 maxDist: 0.065118 maxDistIdx: 4096
badElem: 1 aveDist: 0.00100056 maxDist: 0.0616451 maxDistIdx: 4132
badElem: 4 aveDist: 0.000919214 maxDist: 0.0566691 maxDistIdx: 4132
badElem: 4 aveDist: 0.000820904 maxDist: 0.0525185 maxDistIdx: 4132
badElem: 1 aveDist: 0.000731414 maxDist: 0.0469348 maxDistIdx: 4132
badElem: 3 aveDist: 0.00065309 maxDist: 0.040874 maxDistIdx: 4132
badElem: 2 aveDist: 0.000579722 maxDist: 0.0362247 maxDistIdx: 4132
badElem: 2 aveDist: 0.00050602 maxDist: 0.0338152 maxDistIdx: 4132
badElem: 1 aveDist: 0.000431453 maxDist: 0.0278156 maxDistIdx: 4096
